model,fault,level,decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,anomaly_mean_mean,anomaly_mean_std
RF,zero,4.0,0.3528481012658228,0.09581999435764399,0.0,0.0,1.0,0.0,0.0,0.0,0.9848101265822784,0.03037974683544302,0.717048143346245,0.23614822837965785
RF,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
RF,saturate,1.0,0.7360759493670886,0.15826233801316117,0.0,0.0,0.8844936708860759,0.2310126582278481,0.11550632911392404,0.2310126582278481,0.0,0.0,0.19810107120205855,0.09999620783195325
RF,saturate,4.0,0.4825949367088608,0.18833168907052192,0.003481012658227848,0.006962025316455696,0.6193037974683544,0.46725366710682076,0.37721518987341773,0.46266926686859894,0.0,0.0,0.16826774908774686,0.12236642191248899
RF,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
RF,rawnoise,0.5,0.6862341772151899,0.025026023949072815,0.0,0.0,0.9990506329113924,0.0018987341772151998,0.000949367088607595,0.0018987341772151902,0.06075949367088609,0.033454620978234206,0.2850025499764071,0.03401474288493827
RF,rawnoise,1.0,0.46455696202531643,0.04585987903437239,0.0,0.0,0.9908227848101265,0.008860759493670888,0.00917721518987342,0.008860759493670885,0.5177215189873418,0.1551936935536593,0.4086050817735945,0.026272420560716953
RF,rawnoise,2.0,0.3606012658227848,0.03084590924204431,0.0,0.0,0.9626582278481013,0.021477062659439407,0.03734177215189873,0.021477062659439432,0.7449367088607595,0.09337534629454233,0.8059665439199127,0.011694928497423753
ThresholdRule,clean,0.0,0.9286392405063291,0.02702594639529073,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2453915933968939,0.03474892131877152
ThresholdRule,stuck,1.0,0.9110759493670886,0.04024900961758293,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2460341100795735,0.03502541206325732
ThresholdRule,stuck,4.0,0.8884493670886077,0.018901440707617675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24652058830061346,0.03478099327936663
ThresholdRule,stuck,7.0,0.9257911392405063,0.028084440167511132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24777067238336406,0.03511332271583498
ThresholdRule,zero,1.0,0.8022151898734178,0.16733371095503638,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4,0.4668619273388782,0.26989732768711244
ThresholdRule,zero,4.0,0.4481012658227848,0.1840521128908163,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.48989794855663565,0.717048143346245,0.23614822837965785
ThresholdRule,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ThresholdRule,saturate,1.0,0.710126582278481,0.18007038205432396,0.19841772151898734,0.39683544303797474,0.8,0.4,0.0015822784810126584,0.003164556962025317,0.0,0.0,0.19810107120205855,0.09999620783195325
