held_out,model,reject_quantile,reject_policy,reject_rate_heldout,reject_rate_clean,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean
Mixture,D_mlp,0,alarm,0.0,0.0,0.0058191018342821,0.006817049252527504,0.25211891208096143,0.1507652725842344,0.7420619860847564
Mixture,D_mlp,5,monitor,0.13308032890575586,0.1018987341772152,0.13674889310562935,0.06770102547307595,0.18304870335230866,0.12295767899789256,0.6802024035420621
Mixture,D_mlp,5,alarm,0.13308032890575586,0.1018987341772152,0.0036685641998734976,0.005002838692798276,0.3161290322580645,0.17328651694490624,0.6802024035420621
Mixture,D_mlp,10,monitor,0.23074003795066417,0.20126582278481014,0.23364958886780524,0.10557562822475224,0.1353573687539532,0.09352013580173281,0.6309930423782416
Mixture,D_mlp,10,alarm,0.23074003795066417,0.20126582278481014,0.00290955091714105,0.003992342527023277,0.3660974067046173,0.18593346851045264,0.6309930423782416
Mixture,D_mlp,20,monitor,0.3927893738140418,0.33734177215189876,0.3939278937381404,0.1667073608453883,0.07362428842504744,0.05825231213502352,0.5324478178368122
Mixture,D_mlp,20,alarm,0.3927893738140418,0.33734177215189876,0.0011385199240986717,0.0014086690355041168,0.4664136622390892,0.2122734287128259,0.5324478178368122
Mixture,D_mlp,30,monitor,0.48007590132827327,0.42215189873417724,0.4805819101834282,0.19395161660969784,0.04642631246046806,0.03761521576732863,0.4729917773561037
Mixture,D_mlp,30,alarm,0.48007590132827327,0.42215189873417724,0.0005060088551549652,0.000619731750229773,0.5265022137887413,0.22200493385300932,0.4729917773561037
Mixture,E_gbm,0,monitor,0.0,0.0,0.011764705882352941,0.014901509750919391,0.7857052498418722,0.16852421521013322,0.20253004427577484
Mixture,E_gbm,0,alarm,0.0,0.0,0.011764705882352941,0.014901509750919391,0.7857052498418722,0.16852421521013322,0.20253004427577484
Mixture,E_gbm,5,monitor,0.007337128399746996,0.22151898734177214,0.013535736875395318,0.017699463562193752,0.7857052498418722,0.16852421521013322,0.20075901328273243
Mixture,E_gbm,5,alarm,0.007337128399746996,0.22151898734177214,0.006198608475648323,0.008876814569436474,0.7930423782416193,0.17517766031816287,0.20075901328273243
Mixture,E_gbm,10,monitor,0.01454775458570525,0.4563291139240507,0.018595825426944972,0.019473124761435905,0.7857052498418722,0.16852421521013322,0.1956989247311828
Mixture,E_gbm,10,alarm,0.01454775458570525,0.4563291139240507,0.004048070841239721,0.007185058480031841,0.8002530044275774,0.1779915368250666,0.1956989247311828
Mixture,E_gbm,20,monitor,0.037191650853889945,0.7335443037974683,0.03959519291587603,0.018088489576820063,0.7857052498418722,0.16852421521013322,0.17469955724225172
Mixture,E_gbm,20,alarm,0.037191650853889945,0.7335443037974683,0.002403542061986085,0.00480708412397217,0.8228969006957622,0.18225408864186385,0.17469955724225172
Mixture,E_gbm,30,monitor,0.07122074636306135,0.8949367088607595,0.07185325743200506,0.03436485666573359,0.781404174573055,0.16963121424401031,0.1467425679949399
Mixture,E_gbm,30,alarm,0.07122074636306135,0.8949367088607595,0.0006325110689437065,0.001265022137887413,0.8526249209361163,0.17853267784872243,0.1467425679949399
Mixture,SVM,0,monitor,0.0,0.0,0.0,0.0,0.0030360531309297912,0.00517578053016541,0.9969639468690701
Mixture,SVM,0,alarm,0.0,0.0,0.0,0.0,0.0030360531309297912,0.00517578053016541,0.9969639468690701
